#numPI[l][m][n]/numK[l][m][n] is filled
0 5 10 0.190637 =803.54/4215.03    AC1<1, 1<AC2<14
0 5 11 0.205877 =904.465/4393.23    AC1<1, 1<AC2<15
0 5 12 0.200737 =1007.78/5020.42    AC1<1, 1<AC2<16
0 5 13 0.220346 =1131.78/5136.38    AC1<1, 1<AC2<17
0 5 14 0.235697 =1226.12/5202.1    AC1<1, 1<AC2<18
0 5 15 0.249549 =1325.08/5309.87    AC1<1, 1<AC2<19
0 5 16 0.285069 =1426.1/5002.64    AC1<1, 1<AC2<20
0 5 17 0.28019 =1518.71/5420.27    AC1<1, 1<AC2<21
0 5 18 0.311818 =1602.14/5138.05    AC1<1, 1<AC2<22
0 5 19 0.323795 =1687.34/5211.12    AC1<1, 1<AC2<23
0 6 0 0.00210282 =2.26262/1076    AC1<1, 1.2<AC2<4
0 6 1 0.0271873 =20.9186/769.427    AC1<1, 1.2<AC2<5
0 6 2 0.129004 =139.684/1082.79    AC1<1, 1.2<AC2<6
0 6 3 0.184344 =274.811/1490.75    AC1<1, 1.2<AC2<7
0 6 4 0.150342 =327.606/2179.07    AC1<1, 1.2<AC2<8
0 6 5 0.0896172 =245.931/2744.24    AC1<1, 1.2<AC2<9
0 6 6 0.150445 =473.486/3147.23    AC1<1, 1.2<AC2<10
0 6 7 0.151526 =533.635/3521.74    AC1<1, 1.2<AC2<11
0 6 8 0.153664 =584.69/3805    AC1<1, 1.2<AC2<12
0 6 9 0.169251 =684.981/4047.14    AC1<1, 1.2<AC2<13
0 6 10 0.180724 =770.068/4261.03    AC1<1, 1.2<AC2<14
0 6 11 0.175973 =870.652/4947.64    AC1<1, 1.2<AC2<15
0 6 12 0.213777 =979.494/4581.85    AC1<1, 1.2<AC2<16
0 6 13 0.233056 =1103.76/4736.02    AC1<1, 1.2<AC2<17
0 6 14 0.230009 =1197.78/5207.56    AC1<1, 1.2<AC2<18
0 6 15 0.244661 =1293.92/5288.65    AC1<1, 1.2<AC2<19
0 6 16 0.260618 =1394.04/5348.96    AC1<1, 1.2<AC2<20
0 6 17 0.290755 =1489.15/5121.67    AC1<1, 1.2<AC2<21
0 6 18 0.290457 =1570.78/5407.96    AC1<1, 1.2<AC2<22
0 6 19 0.292907 =1663.24/5678.37    AC1<1, 1.2<AC2<23
0 7 0 1 =10.4555/10.4555    AC1<1, 1.4<AC2<4
0 7 1 0.0261638 =22.1243/845.607    AC1<1, 1.4<AC2<5
0 7 2 1 =177.225/177.225    AC1<1, 1.4<AC2<6
0 7 3 0.168668 =266.653/1580.94    AC1<1, 1.4<AC2<7
