#numPI[l][m][n]/numK[l][m][n] is filled
0 14 10 0.0573265 =661.136/11532.8    AC1<1, 2.8<AC2<14
0 14 11 0.0641608 =762.833/11889.4    AC1<1, 2.8<AC2<15
0 14 12 0.0710654 =868.663/12223.4    AC1<1, 2.8<AC2<16
0 14 13 0.0790445 =992.913/12561.5    AC1<1, 2.8<AC2<17
0 14 14 0.084711 =1087.9/12842.5    AC1<1, 2.8<AC2<18
0 14 15 0.0903779 =1185.23/13114.1    AC1<1, 2.8<AC2<19
0 14 16 0.0960525 =1284.27/13370.5    AC1<1, 2.8<AC2<20
0 14 17 0.10149 =1379.28/13590.3    AC1<1, 2.8<AC2<21
0 14 18 0.105975 =1462.02/13795.9    AC1<1, 2.8<AC2<22
0 14 19 0.110364 =1547/14017.3    AC1<1, 2.8<AC2<23
0 15 0 0.000600616 =1.57932/2629.51    AC1<1, 3<AC2<4
0 15 1 0.0879637 =422.084/4798.39    AC1<1, 3<AC2<5
0 15 2 0.0208202 =116.404/5590.9    AC1<1, 3<AC2<6
0 15 3 0.0230002 =152.95/6649.96    AC1<1, 3<AC2<7
0 15 4 0.0262337 =199.707/7612.6    AC1<1, 3<AC2<8
0 15 5 0.0316533 =265.462/8386.57    AC1<1, 3<AC2<9
0 15 6 0.0394414 =357.069/9053.15    AC1<1, 3<AC2<10
0 15 7 0.0430602 =414.838/9633.89    AC1<1, 3<AC2<11
0 15 8 0.047026 =475.541/10112.3    AC1<1, 3<AC2<12
0 15 9 0.0543166 =572.4/10538.2    AC1<1, 3<AC2<13
0 15 10 0.0601779 =657.778/10930.6    AC1<1, 3<AC2<14
0 15 11 0.0672971 =759.602/11287.3    AC1<1, 3<AC2<15
0 15 12 0.074463 =865.337/11621    AC1<1, 3<AC2<16
0 15 13 0.0827446 =989.469/11958.1    AC1<1, 3<AC2<17
0 15 14 0.0886155 =1084.57/12239.1    AC1<1, 3<AC2<18
0 15 15 0.0945108 =1181.81/12504.5    AC1<1, 3<AC2<19
0 15 16 0.100502 =1281.09/12746.9    AC1<1, 3<AC2<20
0 15 17 0.105827 =1375.8/13000.5    AC1<1, 3<AC2<21
0 15 18 0.110461 =1458.5/13203.8    AC1<1, 3<AC2<22
0 15 19 0.115006 =1543.37/13419.9    AC1<1, 3<AC2<23
0 16 0 0.00148315 =2.96113/1996.52    AC1<1, 3.2<AC2<4
0 16 1 0.0887638 =365.141/4113.63    AC1<1, 3.2<AC2<5
0 16 2 0.020728 =103.383/4987.62    AC1<1, 3.2<AC2<6
0 16 3 0.0232308 =140.586/6051.7    AC1<1, 3.2<AC2<7
0 16 4 0.0267835 =187.952/7017.47    AC1<1, 3.2<AC2<8
0 16 5 0.0326492 =254.406/7792.12    AC1<1, 3.2<AC2<9
0 16 6 0.0409671 =346.486/8457.68    AC1<1, 3.2<AC2<10
0 16 7 0.0452568 =402.69/8897.88    AC1<1, 3.2<AC2<11
0 16 8 0.0490465 =466.809/9517.69    AC1<1, 3.2<AC2<12
0 16 9 0.0566961 =563.691/9942.32    AC1<1, 3.2<AC2<13
