0.385788 0.363353 0.510169 0.855116 0.699595|zR-zL|<0.036
0.388118 0.365672 0.511626 0.858002 0.703364|zR-zL|<0.037
0.390296 0.367949 0.514479 0.861992 0.703653|zR-zL|<0.038
0.392799 0.370463 0.516503 0.861496 0.70947|zR-zL|<0.039
0.395056 0.372856 0.519053 0.86318 0.709629|zR-zL|<0.04
0.397525 0.375133 0.521259 0.864921 0.707027|zR-zL|<0.041
0.399902 0.377374 0.523525 0.865623 0.712173|zR-zL|<0.042
0.402703 0.379909 0.525994 0.869557 0.7177|zR-zL|<0.043
0.404761 0.381997 0.528079 0.875964 0.720621|zR-zL|<0.044
0.407529 0.384705 0.530912 0.882049 0.72345|zR-zL|<0.045
0.410039 0.387256 0.532085 0.88485 0.731248|zR-zL|<0.046
0.412521 0.389849 0.534008 0.884241 0.730726|zR-zL|<0.047
0.415363 0.392757 0.53587 0.885896 0.738851|zR-zL|<0.048
0.417885 0.395197 0.537914 0.886519 0.736284|zR-zL|<0.049
0.420494 0.398085 0.539735 0.88725 0.738686|zR-zL|<0.05
0.423654 0.40103 0.542487 0.88773 0.738684|zR-zL|<0.051
0.426894 0.404348 0.545442 0.888053 0.738909|zR-zL|<0.052
0.4302 0.407393 0.547992 0.887628 0.743267|zR-zL|<0.053
0.433632 0.410675 0.549954 0.889283 0.739657|zR-zL|<0.054
0.436606 0.413704 0.552484 0.89204 0.739132|zR-zL|<0.055
0.439646 0.416786 0.555176 0.89477 0.741405|zR-zL|<0.056
0.442587 0.4197 0.556936 0.896087 0.740659|zR-zL|<0.057
0.445362 0.422661 0.559648 0.896339 0.747643|zR-zL|<0.058
0.448356 0.425532 0.561651 0.897836 0.74963|zR-zL|<0.059
0.451516 0.428772 0.564161 0.898195 0.753766|zR-zL|<0.06
0.454331 0.431644 0.566994 0.899601 0.76027|zR-zL|<0.061
0.457889 0.434789 0.57007 0.899035 0.761569|zR-zL|<0.062
0.460982 0.437692 0.573045 0.899356 0.766347|zR-zL|<0.063
0.464713 0.441236 0.576586 0.900866 0.765569|zR-zL|<0.064
0.468152 0.444681 0.578428 0.901289 0.769696|zR-zL|<0.065
0.471199 0.447795 0.580148 0.903862 0.773176|zR-zL|<0.066
0.474784 0.451213 0.582111 0.905306 0.774346|zR-zL|<0.067
0.477811 0.454158 0.584438 0.904399 0.778828|zR-zL|<0.068
0.481422 0.457445 0.587048 0.905871 0.777562|zR-zL|<0.069
0.484091 0.46007 0.589679 0.908414 0.779083|zR-zL|<0.07
0.487145 0.463025 0.591582 0.907594 0.791011|zR-zL|<0.071
0.4897 0.465792 0.593504 0.909003 0.797145|zR-zL|<0.072
0.493312 0.46911 0.595406 0.908073 0.803478|zR-zL|<0.073
0.495901 0.471577 0.598057 0.908521 0.799838|zR-zL|<0.074
0.498443 0.474248 0.600931 0.911294 0.803925|zR-zL|<0.075
0.501132 0.47712 0.602894 0.912652 0.805021|zR-zL|<0.076
0.504093 0.479792 0.604654 0.912 0.801121|zR-zL|<0.077
0.507326 0.482647 0.605909 0.911306 0.802033|zR-zL|<0.078
0.509709 0.484925 0.607589 0.913783 0.811071|zR-zL|<0.079
0.513187 0.488012 0.610078 0.915073 0.818351|zR-zL|<0.08
0.516865 0.491572 0.611818 0.915537 0.816631|zR-zL|<0.081
0.519547 0.494097 0.614469 0.915861 0.812922|zR-zL|<0.082
0.52272 0.497094 0.617545 0.917326 0.812232|zR-zL|<0.083
0.525774 0.500492 0.619589 0.916575 0.813201|zR-zL|<0.084
0.528383 0.503111 0.620844 0.915866 0.811249|zR-zL|<0.085
0.530892 0.505535 0.623373 0.91503 0.815185|zR-zL|<0.086
0.533348 0.508149 0.625417 0.915355 0.816968|zR-zL|<0.087
0.535851 0.510763 0.627826 0.91564 0.815794|zR-zL|<0.088
0.538407 0.513624 0.630193 0.915864 0.819755|zR-zL|<0.089
0.541693 0.51689 0.63246 0.91596 0.815425|zR-zL|<0.09
0.544986 0.52003 0.634403 0.917418 0.821888|zR-zL|<0.091
