0.00189714 0.000565036 0.000156059 0.00119904 0.00241524 AC1<0, 17.6<AC2<20
0.00176865 0.000226014 0.000163153 0.000648016 0.00241524 AC1<0, 17.8<AC2<20
0.00159733 0.000226014 0.000156059 0.000648016 0.00241524 AC1<0, 18<AC2<20
0.00141593 0.000226014 0.000141872 0.000648016 0.00241524 AC1<0, 18.2<AC2<20
0.00126476 0.000226014 9.22169e-05 0.000648016 0.00241524 AC1<0, 18.4<AC2<20
0.00109848 0.000226014 9.93105e-05 0.000648016 0.00241524 AC1<0, 18.6<AC2<20
0.000934714 0.000113007 8.51233e-05 0.000648016 0.00241524 AC1<0, 18.8<AC2<20
0.000778508 0.000113007 8.51233e-05 0.000648016 0.00241524 AC1<0, 19<AC2<20
0.00063238 0.000113007 7.09361e-05 0.000648016 0.00241524 AC1<0, 19.2<AC2<20
0.000513967 0.000113007 7.09361e-05 0.000648016 0.00241524 AC1<0, 19.4<AC2<20
0.000327528 0.000226014 7.80297e-05 0.000648016 0.00241524 AC1<0, 19.6<AC2<20
0.000151167 0.000226014 5.67489e-05 0.000648016 0.00241524 AC1<0, 19.8<AC2<20
0.0254791 0.509549 0.501873 0.720131 0.691839 AC1<0.25, 0<AC2<20
0.0254615 0.509323 0.497844 0.720318 0.693547 AC1<0.25, 0.2<AC2<20
0.0254338 0.508306 0.478996 0.719377 0.69352 AC1<0.25, 0.4<AC2<20
0.0254413 0.508645 0.450756 0.715686 0.69107 AC1<0.25, 0.6<AC2<20
0.0253809 0.508306 0.413039 0.712354 0.680925 AC1<0.25, 0.8<AC2<20
0.0254212 0.507402 0.370343 0.713653 0.683967 AC1<0.25, 1<AC2<20
0.0254313 0.502769 0.329356 0.708095 0.679597 AC1<0.25, 1.2<AC2<20
0.025401 0.502656 0.292959 0.706652 0.683176 AC1<0.25, 1.4<AC2<20
0.0253607 0.496779 0.261669 0.699629 0.689605 AC1<0.25, 1.6<AC2<20
0.0253355 0.493728 0.233465 0.693699 0.688685 AC1<0.25, 1.8<AC2<20
0.0252826 0.488756 0.208602 0.68845 0.681987 AC1<0.25, 2<AC2<20
0.0252473 0.484349 0.186725 0.680568 0.660793 AC1<0.25, 2.2<AC2<20
0.025207 0.478133 0.166976 0.670311 0.658672 AC1<0.25, 2.4<AC2<20
0.025207 0.474517 0.150186 0.660827 0.654849 AC1<0.25, 2.6<AC2<20
0.0251566 0.465702 0.134857 0.651986 0.684188 AC1<0.25, 2.8<AC2<20
0.0251365 0.458131 0.121918 0.643944 0.671199 AC1<0.25, 3<AC2<20
0.0250987 0.448977 0.109788 0.629343 0.6545 AC1<0.25, 3.2<AC2<20
0.0250659 0.438807 0.0993531 0.615435 0.646134 AC1<0.25, 3.4<AC2<20
0.0250659 0.429088 0.0895852 0.601983 0.637409 AC1<0.25, 3.6<AC2<20
0.0250307 0.416544 0.0821298 0.588397 0.631021 AC1<0.25, 3.8<AC2<20
0.0249929 0.406487 0.0746035 0.572738 0.617714 AC1<0.25, 4<AC2<20
0.0249853 0.395186 0.0682192 0.552048 0.601383 AC1<0.25, 4.2<AC2<20
0.0249601 0.386484 0.0623528 0.541059 0.588491 AC1<0.25, 4.4<AC2<20
0.0249047 0.37428 0.0571674 0.526951 0.574888 AC1<0.25, 4.6<AC2<20
0.0248417 0.362753 0.0525849 0.513383 0.552482 AC1<0.25, 4.8<AC2<20
0.0248039 0.351339 0.048421 0.498379 0.535653 AC1<0.25, 5<AC2<20
0.0247409 0.341395 0.0448387 0.484366 0.533274 AC1<0.25, 5.2<AC2<20
